Timestamp,Timestamp_AEST,A0-A1_mV,A2-A3_mV
1744248127.6289558,2025-04-10 11:22:07.628956,33.844,-20.961
1744248128.7214649,2025-04-10 11:22:08.721465,1.25,-20.977
1744248129.8181944,2025-04-10 11:22:09.818194,1.25,-20.969
1744248130.8938344,2025-04-10 11:22:10.893834,1.258,-20.961
1744248132.074778,2025-04-10 11:22:12.074778,1.266,-20.945
1744248133.198499,2025-04-10 11:22:13.198499,1.258,-20.953
1744248134.2862072,2025-04-10 11:22:14.286207,1.25,-20.945
1744248135.454542,2025-04-10 11:22:15.454542,1.266,-20.945
1744248136.576975,2025-04-10 11:22:16.576975,1.266,-20.938
1744248137.6653104,2025-04-10 11:22:17.665310,1.25,-20.922
1744248138.8351724,2025-04-10 11:22:18.835172,1.25,-20.93
1744248140.9954326,2025-04-10 11:22:20.995433,1.25,-20.789
1744248142.1101973,2025-04-10 11:22:22.110197,1.25,-20.883
1744248143.2292662,2025-04-10 11:22:23.229266,1.258,-20.914
1744248144.3103876,2025-04-10 11:22:24.310388,1.25,-20.914
1744248296.641358,2025-04-10 11:24:56.641358,-1.32,-20.445
1744248297.730409,2025-04-10 11:24:57.730409,1.055,-20.477
1744248298.7842028,2025-04-10 11:24:58.784203,1.062,-20.461
1744248299.8841884,2025-04-10 11:24:59.884188,1.062,-20.453
1744248301.0150592,2025-04-10 11:25:01.015059,1.07,-20.453
1744248302.1390915,2025-04-10 11:25:02.139091,1.07,-20.453
1744248325.3060377,2025-04-10 11:25:25.306038,-1.32,-20.461
1744248326.4126549,2025-04-10 11:25:26.412655,1.008,-20.477
1744248462.7808683,2025-04-10 11:27:42.780868,-1.297,-20.195
1744248463.8604848,2025-04-10 11:27:43.860485,0.945,-20.219
1744248464.9272494,2025-04-10 11:27:44.927249,0.953,-20.219
1744248466.0939915,2025-04-10 11:27:46.093992,0.953,-20.219
1744248467.2245064,2025-04-10 11:27:47.224506,0.953,-20.211
1744248468.310283,2025-04-10 11:27:48.310283,0.953,-20.219
1744248469.4803061,2025-04-10 11:27:49.480306,0.953,-20.227
1744248470.5529933,2025-04-10 11:27:50.552993,0.953,-20.227
1744248471.6269531,2025-04-10 11:27:51.626953,0.953,-20.227
1744248472.7521,2025-04-10 11:27:52.752100,0.953,-20.211
1744248473.8879771,2025-04-10 11:27:53.887977,0.953,-20.203
1744248474.962575,2025-04-10 11:27:54.962575,0.945,-20.203
1744248476.0341132,2025-04-10 11:27:56.034113,0.953,-20.211
1744248477.1053514,2025-04-10 11:27:57.105351,0.953,-20.195
1744248478.1781876,2025-04-10 11:27:58.178188,0.953,-20.195
1744248479.2735453,2025-04-10 11:27:59.273545,0.961,-20.195
1744248480.3478687,2025-04-10 11:28:00.347869,0.953,-20.203
1744248481.470548,2025-04-10 11:28:01.470548,0.961,-20.172
1744248482.5878763,2025-04-10 11:28:02.587876,0.961,-20.164
1744248483.67138,2025-04-10 11:28:03.671380,0.961,-20.125
1744248484.749182,2025-04-10 11:28:04.749182,0.961,-20.156
1744248485.8236456,2025-04-10 11:28:05.823646,0.961,-20.164
1744248486.8984725,2025-04-10 11:28:06.898473,0.961,-20.156
1744248487.9768472,2025-04-10 11:28:07.976847,0.953,-20.156
1744248489.1412554,2025-04-10 11:28:09.141255,0.953,-20.156
1744248490.3721282,2025-04-10 11:28:10.372128,0.961,-20.133
1744248491.4870405,2025-04-10 11:28:11.487041,0.961,-20.141
1744248492.633282,2025-04-10 11:28:12.633282,0.961,-20.141
1744248493.7521126,2025-04-10 11:28:13.752113,0.969,-20.133
1744248494.891259,2025-04-10 11:28:14.891259,0.969,-20.133
1744248495.965657,2025-04-10 11:28:15.965657,0.969,-20.125
1744248497.0417595,2025-04-10 11:28:17.041759,0.969,-20.125
1744248498.1177597,2025-04-10 11:28:18.117760,0.961,-20.117
1744248499.2805007,2025-04-10 11:28:19.280501,0.961,-20.227
1744248500.4057333,2025-04-10 11:28:20.405733,0.961,-20.203
1744248501.533192,2025-04-10 11:28:21.533192,0.961,-20.18
1744248503.685127,2025-04-10 11:28:23.685127,0.969,-20.156
1744248504.8087335,2025-04-10 11:28:24.808733,0.969,-20.141
1744248505.9347079,2025-04-10 11:28:25.934708,0.977,-20.141
1744248507.0679936,2025-04-10 11:28:27.067994,0.969,-20.117
1744248508.1943305,2025-04-10 11:28:28.194330,0.977,-20.109
1744248509.2716575,2025-04-10 11:28:29.271657,0.969,-20.109
1744248510.441718,2025-04-10 11:28:30.441718,0.969,-20.07
1744248511.5666642,2025-04-10 11:28:31.566664,0.969,-20.031
1744248512.6927652,2025-04-10 11:28:32.692765,0.969,-20.055
1744248513.8431687,2025-04-10 11:28:33.843169,0.969,-20.055
1744248514.9472225,2025-04-10 11:28:34.947222,0.969,-20.016
1744248516.091327,2025-04-10 11:28:36.091327,0.969,-20.039
1744248517.1654866,2025-04-10 11:28:37.165487,0.969,-20.031
1744248518.2419753,2025-04-10 11:28:38.241975,0.977,-20.055
1744248519.3173962,2025-04-10 11:28:39.317396,0.969,-20.062
1744248520.4750612,2025-04-10 11:28:40.475061,0.969,-20.016
1744248521.5515862,2025-04-10 11:28:41.551586,0.969,-20.023
1744248522.6241963,2025-04-10 11:28:42.624196,0.969,-20.016
1744248523.7562408,2025-04-10 11:28:43.756241,0.977,-20.023
1744248524.8313084,2025-04-10 11:28:44.831308,0.969,-20.023
1744248526.0075488,2025-04-10 11:28:46.007549,0.961,-20.008
1744248527.1339867,2025-04-10 11:28:47.133987,0.977,-20.008
1744248528.2627723,2025-04-10 11:28:48.262772,0.977,-20.008
1744248529.3554442,2025-04-10 11:28:49.355444,0.977,-20.008
1744248530.526177,2025-04-10 11:28:50.526177,0.977,-20.0
1744248531.6401412,2025-04-10 11:28:51.640141,0.977,-20.016
1744248532.7690911,2025-04-10 11:28:52.769091,0.977,-20.008
1744248533.8915749,2025-04-10 11:28:53.891575,0.984,-20.0
1744248534.966497,2025-04-10 11:28:54.966497,0.992,-20.0
1744248536.0452147,2025-04-10 11:28:56.045215,0.984,-20.0
1744248537.118197,2025-04-10 11:28:57.118197,0.984,-19.977
1744248538.191508,2025-04-10 11:28:58.191508,0.984,-19.977
1744248539.3190887,2025-04-10 11:28:59.319089,0.984,-19.977
1744248540.4152792,2025-04-10 11:29:00.415279,0.984,-19.977
1744248541.4912271,2025-04-10 11:29:01.491227,0.984,-19.992
1744248542.5986438,2025-04-10 11:29:02.598644,0.977,-20.008
1744248543.6734922,2025-04-10 11:29:03.673492,0.984,-19.992
1744248544.8773127,2025-04-10 11:29:04.877313,0.984,-19.977
1744248545.974928,2025-04-10 11:29:05.974928,0.992,-19.977
1744248547.1289272,2025-04-10 11:29:07.128927,0.984,-19.977
1744248548.2415128,2025-04-10 11:29:08.241513,0.984,-19.984
1744248549.3791654,2025-04-10 11:29:09.379165,0.977,-19.984
1744248550.4809842,2025-04-10 11:29:10.480984,0.984,-19.992
1744248551.6093822,2025-04-10 11:29:11.609382,0.977,-19.992
1744248552.7347145,2025-04-10 11:29:12.734715,0.977,-19.977
1744248553.8565204,2025-04-10 11:29:13.856520,0.977,-19.977
1744248554.9885762,2025-04-10 11:29:14.988576,0.977,-19.984
1744248556.1148832,2025-04-10 11:29:16.114883,0.977,-19.984
1744248557.1905696,2025-04-10 11:29:17.190570,0.969,-19.977
1744248558.2658741,2025-04-10 11:29:18.265874,0.977,-19.977
1744248559.3480043,2025-04-10 11:29:19.348004,0.977,-19.961
1744248560.5165627,2025-04-10 11:29:20.516563,0.961,-19.961
1744248561.6423197,2025-04-10 11:29:21.642320,0.953,-19.953
1744248562.770243,2025-04-10 11:29:22.770243,0.953,-19.945
1744248563.8955112,2025-04-10 11:29:23.895511,0.961,-19.938
1744248565.042135,2025-04-10 11:29:25.042135,0.969,-19.945
1744248566.15024,2025-04-10 11:29:26.150240,0.953,-19.93
1744248567.2778535,2025-04-10 11:29:27.277853,0.961,-19.922
1744248568.403642,2025-04-10 11:29:28.403642,0.961,-19.922
1744248569.5309875,2025-04-10 11:29:29.530988,0.961,-19.906
1744248570.6551678,2025-04-10 11:29:30.655168,0.969,-19.906
1744248571.793782,2025-04-10 11:29:31.793782,0.969,-19.898
1744248572.9160824,2025-04-10 11:29:32.916082,0.969,-19.906
1744248574.0572255,2025-04-10 11:29:34.057225,0.961,-19.898
1744248575.1840832,2025-04-10 11:29:35.184083,0.969,-19.891
1744248576.3114104,2025-04-10 11:29:36.311410,0.969,-19.906
1744248577.4138145,2025-04-10 11:29:37.413815,0.961,-19.898
1744248578.4890466,2025-04-10 11:29:38.489047,0.961,-19.898
1744248579.6923983,2025-04-10 11:29:39.692398,0.961,-19.906
1744248580.7693129,2025-04-10 11:29:40.769313,0.969,-19.891
1744248581.91755,2025-04-10 11:29:41.917550,0.961,-19.891
1744248583.0423484,2025-04-10 11:29:43.042348,0.961,-19.891
1744248584.167095,2025-04-10 11:29:44.167095,0.961,-19.891
1744248586.3235378,2025-04-10 11:29:46.323538,0.961,-19.898
1744248587.5293336,2025-04-10 11:29:47.529334,0.961,-19.898
1744248588.6793797,2025-04-10 11:29:48.679380,0.969,-19.906
1744248589.8055282,2025-04-10 11:29:49.805528,0.961,-19.898
1744248590.930623,2025-04-10 11:29:50.930623,0.961,-19.891
1744248592.0579336,2025-04-10 11:29:52.057934,0.953,-19.898
1744248593.2154412,2025-04-10 11:29:53.215441,0.961,-19.883
1744248594.2894902,2025-04-10 11:29:54.289490,0.961,-19.867
1744248595.4346645,2025-04-10 11:29:55.434664,0.953,-19.875
1744248596.5628183,2025-04-10 11:29:56.562818,0.953,-19.867
1744248597.6836572,2025-04-10 11:29:57.683657,0.961,-19.844
1744248598.7561266,2025-04-10 11:29:58.756127,0.953,-19.852
1744248599.82897,2025-04-10 11:29:59.828970,0.953,-19.852
1744248600.9638548,2025-04-10 11:30:00.963855,0.953,-19.836
1744248602.0364316,2025-04-10 11:30:02.036432,0.953,-19.828
1744248603.117006,2025-04-10 11:30:03.117006,0.961,-19.844
1744248604.1921773,2025-04-10 11:30:04.192177,0.953,-19.844
1744248605.27404,2025-04-10 11:30:05.274040,0.945,-19.852
1744248606.3987145,2025-04-10 11:30:06.398715,0.945,-19.836
1744248607.5203252,2025-04-10 11:30:07.520325,0.945,-19.836
1744248608.647246,2025-04-10 11:30:08.647246,0.93,-19.836
1744248609.7205615,2025-04-10 11:30:09.720562,0.938,-19.836
1744248610.8976145,2025-04-10 11:30:10.897614,0.93,-19.852
1744248612.0260563,2025-04-10 11:30:12.026056,0.938,-19.82
1744248613.1039703,2025-04-10 11:30:13.103970,0.93,-19.82
1744248614.2858257,2025-04-10 11:30:14.285826,0.93,-19.836
1744248615.4043963,2025-04-10 11:30:15.404396,0.93,-19.828
1744248616.5320868,2025-04-10 11:30:16.532087,0.93,-19.828
1744248617.6055906,2025-04-10 11:30:17.605591,0.922,-19.898
1744248618.6779182,2025-04-10 11:30:18.677918,0.922,-19.891
1744248619.7529109,2025-04-10 11:30:19.752911,0.922,-19.875
1744248620.8300984,2025-04-10 11:30:20.830098,0.922,-19.859
1744248621.9152231,2025-04-10 11:30:21.915223,0.93,-19.859
1744248623.0859807,2025-04-10 11:30:23.085981,0.93,-19.836
1744248624.2112415,2025-04-10 11:30:24.211241,0.93,-19.852
1744248625.286116,2025-04-10 11:30:25.286116,0.922,-19.836
1744248626.3755684,2025-04-10 11:30:26.375568,0.914,-19.836
1744248627.4511888,2025-04-10 11:30:27.451189,0.914,-19.836
1744248628.6143186,2025-04-10 11:30:28.614319,0.906,-19.828
1744248629.741999,2025-04-10 11:30:29.741999,0.906,-19.828
1744248630.882,2025-04-10 11:30:30.882000,0.906,-19.82
1744248631.9946797,2025-04-10 11:30:31.994680,0.906,-19.828
1744248633.1190429,2025-04-10 11:30:33.119043,0.914,-19.828
1744248634.2479434,2025-04-10 11:30:34.247943,0.906,-19.828
1744248635.3686738,2025-04-10 11:30:35.368674,0.922,-19.844
1744248636.4973047,2025-04-10 11:30:36.497305,0.922,-19.836
1744248637.625677,2025-04-10 11:30:37.625677,0.914,-19.836
1744248638.751896,2025-04-10 11:30:38.751896,0.914,-19.852
1744248639.8372183,2025-04-10 11:30:39.837218,0.914,-19.852
1744248640.9123416,2025-04-10 11:30:40.912342,0.922,-19.836
1744248642.0307157,2025-04-10 11:30:42.030716,0.922,-19.852
1744248643.1549659,2025-04-10 11:30:43.154966,0.93,-19.859
1744248644.229596,2025-04-10 11:30:44.229596,0.93,-19.836
1744248645.3056622,2025-04-10 11:30:45.305662,0.93,-19.836
1744248646.431475,2025-04-10 11:30:46.431475,0.93,-19.844
1744248647.5126736,2025-04-10 11:30:47.512674,0.93,-19.844
1744248648.6869512,2025-04-10 11:30:48.686951,0.922,-19.852
1744248649.809833,2025-04-10 11:30:49.809833,0.922,-19.859
1744248650.9484465,2025-04-10 11:30:50.948447,0.922,-19.859
1744248652.0863173,2025-04-10 11:30:52.086317,0.93,-19.852
1744248653.189307,2025-04-10 11:30:53.189307,0.93,-19.852
1744248654.2641428,2025-04-10 11:30:54.264143,0.922,-19.859
1744248655.351316,2025-04-10 11:30:55.351316,0.922,-19.852
1744248656.4851837,2025-04-10 11:30:56.485184,0.93,-19.844
1744248657.593674,2025-04-10 11:30:57.593674,0.93,-19.781
1744248658.7228105,2025-04-10 11:30:58.722811,0.922,-19.82
1744248660.8095372,2025-04-10 11:31:00.809537,0.93,-19.82
1744248661.8862982,2025-04-10 11:31:01.886298,0.93,-19.82
1744248663.0292103,2025-04-10 11:31:03.029210,0.922,-19.812
1744248664.1675353,2025-04-10 11:31:04.167535,0.938,-19.805
1744248665.271263,2025-04-10 11:31:05.271263,0.938,-19.844
1744248666.4033027,2025-04-10 11:31:06.403303,0.93,-19.836
1744248667.5338092,2025-04-10 11:31:07.533809,0.922,-19.859
1744248668.616505,2025-04-10 11:31:08.616505,0.922,-19.836
1744248669.777298,2025-04-10 11:31:09.777298,0.922,-19.844
1744248670.9051106,2025-04-10 11:31:10.905111,0.922,-19.844
1744248672.0328548,2025-04-10 11:31:12.032855,0.93,-19.852
1744248673.1617692,2025-04-10 11:31:13.161769,0.922,-19.828
1744248674.2393084,2025-04-10 11:31:14.239308,0.922,-19.828
1744248675.4139318,2025-04-10 11:31:15.413932,0.922,-19.82
1744248676.5386684,2025-04-10 11:31:16.538668,0.922,-19.82
1744248677.6882064,2025-04-10 11:31:17.688206,0.938,-19.812
1744248678.793582,2025-04-10 11:31:18.793582,0.906,-19.797
1744248679.8680408,2025-04-10 11:31:19.868041,0.922,-19.82
1744248680.9431188,2025-04-10 11:31:20.943119,0.922,-19.805
1744248682.095492,2025-04-10 11:31:22.095492,0.898,-19.797
1744248683.1764832,2025-04-10 11:31:23.176483,0.906,-19.797
1744248684.2509072,2025-04-10 11:31:24.250907,0.945,-19.781
1744248685.328051,2025-04-10 11:31:25.328051,0.906,-19.773
1744248686.468721,2025-04-10 11:31:26.468721,0.914,-19.766
1744248687.5946343,2025-04-10 11:31:27.594634,0.914,-19.75
1744248688.6685634,2025-04-10 11:31:28.668563,0.914,-19.742
1744248689.7579305,2025-04-10 11:31:29.757931,0.914,-19.734
1744248690.8869765,2025-04-10 11:31:30.886976,0.922,-19.742
1744248692.0008113,2025-04-10 11:31:32.000811,0.938,-19.734
1744248693.1291306,2025-04-10 11:31:33.129131,0.922,-19.75
1744248694.2072937,2025-04-10 11:31:34.207294,0.914,-19.734
1744248695.2847562,2025-04-10 11:31:35.284756,0.914,-19.734
1744248697.4495652,2025-04-10 11:31:37.449565,0.914,-19.719
1744248698.5560448,2025-04-10 11:31:38.556045,0.906,-19.711
1744248699.6311579,2025-04-10 11:31:39.631158,0.914,-19.719
1744248700.761577,2025-04-10 11:31:40.761577,0.914,-19.711
1744248701.8405473,2025-04-10 11:31:41.840547,0.898,-19.711
1744248702.9669979,2025-04-10 11:31:42.966998,0.906,-19.727
1744248704.038783,2025-04-10 11:31:44.038783,0.906,-19.719
1744248705.1439254,2025-04-10 11:31:45.143925,0.867,-19.727
1744248706.233689,2025-04-10 11:31:46.233689,0.875,-19.719
1744248707.3611362,2025-04-10 11:31:47.361136,0.883,-19.727
1744248708.4853992,2025-04-10 11:31:48.485399,0.875,-19.719
1744248709.6193483,2025-04-10 11:31:49.619348,0.883,-19.711
1744248710.6983137,2025-04-10 11:31:50.698314,0.867,-19.727
1744248711.8667078,2025-04-10 11:31:51.866708,0.883,-19.734
1744248712.9939,2025-04-10 11:31:52.993900,0.891,-19.703
1744248714.1206396,2025-04-10 11:31:54.120640,0.883,-19.711
1744248715.2449875,2025-04-10 11:31:55.244987,0.875,-19.711
1744248716.3798254,2025-04-10 11:31:56.379825,0.883,-19.711
1744248717.49945,2025-04-10 11:31:57.499450,0.883,-19.727
1744248718.6460578,2025-04-10 11:31:58.646058,0.891,-19.727
