timestamp,A0,A1,A2,A3
2025-04-10 12:16:04,0.0,1.266,1.594,1.594
2025-04-10 12:16:06,0.938,1.266,1.906,0.641
2025-04-10 12:16:07,0.969,1.281,1.906,0.953
2025-04-10 12:16:08,0.938,1.297,1.938,0.328
2025-04-10 12:16:09,0.969,1.234,1.891,0.625
2025-04-10 12:16:10,0.969,1.25,1.891,0.969
2025-04-10 12:16:11,0.969,1.297,1.891,0.672
2025-04-10 12:16:12,0.984,1.266,1.906,0.953
2025-04-10 12:16:13,0.969,1.266,1.906,0.609
2025-04-10 12:16:15,0.969,1.297,1.875,0.625
2025-04-10 12:16:16,0.984,1.25,1.891,0.938
2025-04-10 12:16:17,0.969,1.266,1.906,0.656
2025-04-10 12:16:18,0.969,1.266,1.891,0.953
2025-04-10 12:16:19,0.953,1.281,1.891,0.625
2025-04-10 12:16:20,0.969,1.25,1.922,0.672
2025-04-10 12:16:22,0.969,1.266,1.906,0.625
2025-04-10 12:16:23,0.984,1.25,1.891,0.938
2025-04-10 12:16:24,0.953,1.25,1.891,0.641
2025-04-10 12:16:25,0.969,1.25,1.891,0.641
2025-04-10 12:16:26,0.969,1.25,1.891,0.672
2025-04-10 12:16:27,0.984,1.25,1.891,0.953
2025-04-10 12:16:28,0.969,1.25,1.891,0.625
2025-04-10 12:16:29,0.969,1.25,1.891,0.938
2025-04-10 12:16:31,0.969,1.234,1.891,0.641
2025-04-10 12:16:32,0.969,1.25,1.906,0.641
2025-04-10 12:16:33,0.984,1.266,1.906,0.625
2025-04-10 12:16:34,0.969,1.266,1.891,0.953
2025-04-10 12:16:35,0.984,1.266,1.891,0.641
2025-04-10 12:16:36,0.969,1.281,1.922,0.938
2025-04-10 12:16:37,0.969,1.25,1.578,0.953
2025-04-10 12:16:38,1.281,0.938,1.578,0.938
2025-04-10 12:16:40,0.984,0.938,0.922,0.938
2025-04-10 12:16:41,1.609,1.266,3.156,1.266
2025-04-10 12:16:42,0.953,1.25,0.625,0.625
2025-04-10 12:16:43,1.297,1.281,1.891,0.625
2025-04-10 12:16:44,1.922,1.25,1.906,0.625
2025-04-10 12:16:45,1.297,1.266,1.891,0.969
2025-04-10 12:16:46,1.266,0.953,1.922,0.641
2025-04-10 12:16:48,2.219,0.984,1.938,0.641
2025-04-10 12:16:49,3.469,0.938,1.922,0.938
2025-04-10 12:16:50,2.547,0.953,1.891,0.953
2025-04-10 12:16:51,3.156,0.938,2.188,0.641
2025-04-10 12:16:52,2.875,0.938,2.188,0.609
2025-04-10 12:16:53,2.234,1.234,1.875,0.656
2025-04-10 12:16:54,1.922,1.25,1.266,0.953
2025-04-10 12:16:56,4.125,0.594,1.891,0.938
2025-04-10 12:16:57,3.828,0.938,1.891,0.953
2025-04-10 12:16:58,3.469,1.234,1.875,0.625
2025-04-10 12:17:00,3.781,3.078,1.906,0.625
2025-04-10 12:17:01,3.172,3.25,1.906,0.953
2025-04-10 12:17:02,2.547,3.094,2.203,0.625
2025-04-10 12:17:03,2.875,1.797,1.891,0.938
2025-04-10 12:17:05,5.359,3.438,0.625,0.922
2025-04-10 12:17:06,5.047,3.156,1.891,0.625
2025-04-10 12:17:07,3.797,3.688,2.219,0.609
2025-04-10 12:17:08,4.438,3.141,3.672,0.609
2025-04-10 12:17:09,4.75,3.047,3.703,0.656
2025-04-10 12:17:10,2.891,1.203,1.859,2.562
2025-04-10 12:17:12,3.828,3.422,2.141,1.578
2025-04-10 12:17:13,3.469,2.406,1.828,0.625
2025-04-10 12:17:14,5.078,3.141,3.703,0.625
2025-04-10 12:17:15,3.812,2.734,3.344,5.328
2025-04-10 12:17:16,3.766,3.391,3.391,4.391
2025-04-10 12:17:17,3.5,2.406,3.391,3.656
2025-04-10 12:17:18,6.031,5.531,7.172,7.688
2025-04-10 12:17:19,4.453,2.984,3.625,4.594
2025-04-10 12:17:21,3.469,2.719,3.703,3.344
2025-04-10 12:17:22,4.094,3.047,3.641,4.328
2025-04-10 12:17:23,3.844,2.734,3.703,2.75
2025-04-10 12:17:24,3.812,2.781,3.562,3.984
2025-04-10 12:17:25,4.078,3.078,3.078,4.359
2025-04-10 12:17:26,3.781,3.391,3.078,3.969
2025-04-10 12:17:27,3.5,3.375,2.734,4.016
2025-04-10 12:17:29,2.844,3.391,3.062,4.016
2025-04-10 12:17:30,3.188,3.344,2.797,3.656
2025-04-10 12:17:31,3.828,3.062,3.672,4.375
2025-04-10 12:17:32,3.5,3.359,3.078,4.016
2025-04-10 12:17:33,3.156,3.031,3.484,3.312
2025-04-10 12:17:34,3.797,3.0,3.297,4.344
2025-04-10 12:17:35,3.5,3.391,3.062,4.0
2025-04-10 12:17:37,3.203,3.359,3.062,3.672
2025-04-10 12:17:38,2.844,3.375,2.734,3.984
2025-04-10 12:17:39,3.797,3.062,3.391,4.047
2025-04-10 12:17:40,4.094,2.797,3.703,4.297
2025-04-10 12:17:41,3.797,3.375,2.594,4.312
2025-04-10 12:17:42,3.172,3.078,3.062,4.328
2025-04-10 12:17:43,3.812,3.062,3.672,4.328
