Timestamp,Timestamp_AEST,A0-A1_mV,A2-A3_mV
1744796963.6255505,2025-04-16 19:49:23,-6.812,87.344
1744796965.7050626,2025-04-16 19:49:25,-28.031,87.531
1744796967.7474236,2025-04-16 19:49:27,-28.969,87.688
1744796969.789421,2025-04-16 19:49:29,-29.875,87.875
1744796971.8318634,2025-04-16 19:49:31,-30.688,88.094
1744796973.8734913,2025-04-16 19:49:33,-31.406,88.281
1744796975.9152443,2025-04-16 19:49:35,-32.125,88.469
1744796977.9584243,2025-04-16 19:49:37,-32.781,88.656
1744796980.00075,2025-04-16 19:49:40,-33.438,88.844
1744796982.0435603,2025-04-16 19:49:42,-34.031,88.969
1744796984.0847235,2025-04-16 19:49:44,-34.594,89.125
1744796986.1272187,2025-04-16 19:49:46,-35.094,89.281
1744796988.1684842,2025-04-16 19:49:48,-35.563,89.406
1744796990.2102652,2025-04-16 19:49:50,-36.031,89.562
1744796992.2514944,2025-04-16 19:49:52,-36.469,89.719
1744796994.2930903,2025-04-16 19:49:54,-36.875,89.875
1744796996.334241,2025-04-16 19:49:56,-37.281,90.0
1744796998.3796399,2025-04-16 19:49:58,-37.625,90.125
1744797000.4310665,2025-04-16 19:50:00,-37.969,90.25
1744797002.479827,2025-04-16 19:50:02,-38.281,90.344
1744797004.5285425,2025-04-16 19:50:04,-38.594,90.469
1744797006.5800488,2025-04-16 19:50:06,-38.906,90.531
1744797008.6286395,2025-04-16 19:50:08,-39.156,90.625
1744797010.686614,2025-04-16 19:50:10,-39.438,90.781
1744797012.7353275,2025-04-16 19:50:12,-39.719,90.906
1744797014.7841086,2025-04-16 19:50:14,-39.938,91.0
1744797016.8342893,2025-04-16 19:50:16,-40.188,91.094
1744797018.8831153,2025-04-16 19:50:18,-40.438,91.188
1744797020.9319448,2025-04-16 19:50:20,-40.688,91.25
1744797022.983108,2025-04-16 19:50:22,-40.875,91.312
1744797025.0319214,2025-04-16 19:50:25,-41.094,91.25
1744797027.0806525,2025-04-16 19:50:27,-41.281,91.344
1744797029.1319382,2025-04-16 19:50:29,-41.438,91.438
1744797031.1806474,2025-04-16 19:50:31,-41.625,91.5
1744797033.2292323,2025-04-16 19:50:33,-41.781,91.594
1744797035.27961,2025-04-16 19:50:35,-42.0,91.656
1744797037.328292,2025-04-16 19:50:37,-42.188,91.719
1744797039.3770041,2025-04-16 19:50:39,-42.344,91.75
1744797041.428556,2025-04-16 19:50:41,-42.531,91.812
1744797043.4772744,2025-04-16 19:50:43,-42.688,91.875
1744797045.5261767,2025-04-16 19:50:45,-42.812,91.938
1744797047.5750165,2025-04-16 19:50:47,-42.969,91.969
1744797049.6236827,2025-04-16 19:50:49,-43.062,92.0
1744797051.6725159,2025-04-16 19:50:51,-43.219,92.031
