Timestamp,Timestamp_AEST,A0-A1_mV,A2-A3_mV
1744708321.2974875,2025-04-15 19:12:01,266.469,57.938
1744708396.138248,2025-04-15 19:13:16,286.094,61.625
1744708401.2585075,2025-04-15 19:13:21,286.844,61.891
1744708406.3782935,2025-04-15 19:13:26,286.891,62.141
1744708411.4983206,2025-04-15 19:13:31,286.906,62.406
1744708416.6192284,2025-04-15 19:13:36,287.281,62.516
1744708421.7383149,2025-04-15 19:13:41,287.719,62.781
1744708426.858349,2025-04-15 19:13:46,288.062,63.078
1744708431.9782748,2025-04-15 19:13:51,288.594,63.281
1744708437.0983396,2025-04-15 19:13:57,288.969,63.516
1744708442.2185369,2025-04-15 19:14:02,289.641,63.766
1744708447.3382347,2025-04-15 19:14:07,290.375,64.031
1744708452.4585397,2025-04-15 19:14:12,291.078,64.359
1744708457.5794873,2025-04-15 19:14:17,291.109,64.609
1744708462.6986544,2025-04-15 19:14:22,290.672,64.922
1744708467.818327,2025-04-15 19:14:27,291.0,65.203
1744708472.9384987,2025-04-15 19:14:32,290.75,65.484
1744708478.058367,2025-04-15 19:14:38,291.344,65.766
1744708483.1785877,2025-04-15 19:14:43,291.391,66.0
1744708488.2984266,2025-04-15 19:14:48,290.922,66.281
1744708493.418419,2025-04-15 19:14:53,290.75,66.562
1744708498.538429,2025-04-15 19:14:58,291.094,66.844
1744708503.6582868,2025-04-15 19:15:03,291.422,67.094
1744708508.774187,2025-04-15 19:15:08,291.188,67.391
1744708510.8154006,2025-04-15 19:15:10,290.859,67.484
1744708512.86031,2025-04-15 19:15:12,290.547,67.594
1744708514.908166,2025-04-15 19:15:14,290.109,67.703
1744708516.9593954,2025-04-15 19:15:16,289.781,67.797
1744708519.008149,2025-04-15 19:15:19,289.828,67.891
1744708521.0600672,2025-04-15 19:15:21,289.844,68.0
1744708523.1045258,2025-04-15 19:15:23,289.891,68.109
1744708525.1456509,2025-04-15 19:15:25,290.203,68.203
1744708527.1882834,2025-04-15 19:15:27,290.578,68.281
1744708529.233669,2025-04-15 19:15:29,291.016,68.359
1744708531.2826483,2025-04-15 19:15:31,291.453,68.469
1744708533.3314207,2025-04-15 19:15:33,292.0,68.578
1744708535.380211,2025-04-15 19:15:35,291.984,68.672
1744708537.4292068,2025-04-15 19:15:37,292.203,68.781
1744708539.4780116,2025-04-15 19:15:39,292.313,68.875
1744708541.5271358,2025-04-15 19:15:41,292.484,68.984
1744708543.5787737,2025-04-15 19:15:43,292.688,69.109
1744708545.6275833,2025-04-15 19:15:45,292.797,69.234
1744708547.6762757,2025-04-15 19:15:47,293.016,69.344
1744708549.7283795,2025-04-15 19:15:49,293.203,69.438
1744708551.7772334,2025-04-15 19:15:51,293.406,69.547
1744708553.8260093,2025-04-15 19:15:53,293.641,69.641
1744708555.8779867,2025-04-15 19:15:55,293.875,69.781
1744708557.9266047,2025-04-15 19:15:57,294.141,69.922
1744708559.974113,2025-04-15 19:15:59,294.219,70.0
1744708562.015981,2025-04-15 19:16:02,293.984,70.109
1744708564.061345,2025-04-15 19:16:04,294.0,70.172
